category,puzzle_title,puzzle_phrase,word,clue
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,SAFARI,Journey to observe wildlife in East Africa
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,DJEMBE,Traditional West African drum
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,KENTE,Colorful woven cloth from Ghana
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,UBUNTU,African philosophy meaning I am because we are
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,SAHARA,Worlds largest hot desert in Africa
African Culture,African Culture Basics,AFRICA IS RICH IN CULTURE,ZULU,Largest ethnic group in South Africa
African Culture,African Leaders,PEACE FREEDOM JUSTICE NOW,MANDELA,Anti-apartheid leader who became president of South Africa
African Culture,African Leaders,PEACE FREEDOM JUSTICE NOW,LUMUMBA,First prime minister of the Democratic Republic of Congo
African Culture,African Leaders,PEACE FREEDOM JUSTICE NOW,NKRUMAH,First president of Ghana who led independence
African Culture,African Leaders,PEACE FREEDOM JUSTICE NOW,SELASSIE,Former emperor of Ethiopia
African Culture,African Leaders,PEACE FREEDOM JUSTICE NOW,KENYATTA,First president of Kenya
African Culture,African Geography,NILE RIVER FLOWS NORTH,CONGO,Largest rainforest in Africa
African Culture,African Geography,NILE RIVER FLOWS NORTH,VICTORIA,Largest lake in Africa
African Culture,African Geography,NILE RIVER FLOWS NORTH,KILIMANJARO,Highest mountain peak in Africa
African Culture,African Geography,NILE RIVER FLOWS NORTH,MEDINA,Old quarter of a North African city
African Culture,African Traditions,GRIOT TELLS ANCIENT STORIES,GRIOT,West African storyteller and musician
African Culture,African Traditions,GRIOT TELLS ANCIENT STORIES,MASK,Face covering used in African rituals
African Culture,African Traditions,GRIOT TELLS ANCIENT STORIES,TOTEM,Animal symbol representing a clan
African Culture,African Traditions,GRIOT TELLS ANCIENT STORIES,KOLA,Nut used in traditional African ceremonies
African Culture,African Traditions,GRIOT TELLS ANCIENT STORIES,ELDER,Respected senior community member
African Culture,African Food,JOLLOF RICE TASTES GREAT,FUFU,Starchy staple food made from cassava or yams
African Culture,African Food,JOLLOF RICE TASTES GREAT,COUSCOUS,Steamed grain dish popular in North Africa
African Culture,African Food,JOLLOF RICE TASTES GREAT,TAGINE,Slow-cooked Moroccan stew
African Culture,African Food,JOLLOF RICE TASTES GREAT,INJERA,Spongy Ethiopian flatbread
African Culture,African Food,JOLLOF RICE TASTES GREAT,JOLLOF,Popular West African rice dish
African Culture,African Food,JOLLOF RICE TASTES GREAT,YAM,Edible tuber widely cultivated in West Africa
African Culture,African Art,BRONZE MASKS ARE BEAUTIFUL,ADINKRA,Symbols from Ghana that represent concepts
African Culture,African Art,BRONZE MASKS ARE BEAUTIFUL,BRONZE,Metal used for famous Benin sculptures
African Culture,African Art,BRONZE MASKS ARE BEAUTIFUL,BEADS,Small decorated items used in African jewelry
African Culture,African Art,BRONZE MASKS ARE BEAUTIFUL,WEAVE,Technique used to make baskets and cloth
African Culture,African Art,BRONZE MASKS ARE BEAUTIFUL,POTTERY,Art of making clay containers
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,PHARAOH,Ruler of ancient Egypt
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,PYRAMID,Massive tomb built for Egyptian kings
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,CLEOPATRA,Last active ruler of the Ptolemaic Kingdom of Egypt
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,SPHINX,Mythical creature with a lions body and human head
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,PAPYRUS,Ancient Egyptian writing material
History,Ancient Egypt,PHARAOHS RULED ANCIENT EGYPT,MEMPHIS,Ancient capital of Egypt
History,African Empires,GREAT EMPIRES OF AFRICA,ASHANTI,Powerful West African kingdom in modern Ghana
History,African Empires,GREAT EMPIRES OF AFRICA,MALI,Medieval West African empire ruled by Mansa Musa
History,African Empires,GREAT EMPIRES OF AFRICA,ZIMBABWE,Southern African kingdom known for stone ruins
History,African Empires,GREAT EMPIRES OF AFRICA,SONGHAI,West African empire that succeeded the Mali Empire
History,African Empires,GREAT EMPIRES OF AFRICA,BENIN,West African kingdom known for bronze art
History,African Empires,GREAT EMPIRES OF AFRICA,AKSUM,Ancient kingdom in modern-day Ethiopia
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,APARTHEID,System of racial segregation in South Africa
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,SCRAMBLE,European rush to claim African territory
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,BERLIN,Conference that divided Africa among Europeans
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,RESIST,To fight against colonial oppression
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,HERITAGE,Cultural legacy passed down through generations
History,Colonial Era,FREEDOM COMES AFTER STRUGGLE,INDEPND,Act of a nation gaining freedom from colonial rule
History,Civil Rights,MARCH FOR EQUAL RIGHTS,TUSKEGEE,Institute where Booker T. Washington taught
History,Civil Rights,MARCH FOR EQUAL RIGHTS,MARCH,Mass demonstration for civil rights
History,Civil Rights,MARCH FOR EQUAL RIGHTS,BOYCOTT,Refusal to buy goods as protest
History,Civil Rights,MARCH FOR EQUAL RIGHTS,EQUAL,Having the same rights and status
History,Civil Rights,MARCH FOR EQUAL RIGHTS,JUSTICE,Fair treatment under the law
History,Civil Rights,MARCH FOR EQUAL RIGHTS,FREEDOM,State of being free from oppression
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,ASTRO,Branch of science studying celestial objects
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,GALAXY,Massive system of stars and dust
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,ORBIT,Path of an object around a star or planet
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,COMET,Icy body that orbits the sun with a tail
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,METEOR,Space rock that burns in the atmosphere
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,LUNAR,Related to the moon
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,ROCKET,Vessel used to travel into space
Science,Space Science,STARS SHINE BRIGHT AT NIGHT,SOLAR,Relating to the sun and its family of planets
Science,Human Body,HEART PUMPS BLOOD FAST,BRAIN,Organ that controls thought and movement
Science,Human Body,HEART PUMPS BLOOD FAST,BLOOD,Red liquid that carries oxygen through the body
Science,Human Body,HEART PUMPS BLOOD FAST,HEART,Muscle that pumps blood through the body
Science,Human Body,HEART PUMPS BLOOD FAST,LUNGS,Organs used for breathing
Science,Human Body,HEART PUMPS BLOOD FAST,SKELETON,Framework of bones in the body
Science,Human Body,HEART PUMPS BLOOD FAST,MUSCLE,Tissue that contracts to produce movement
Science,Nature,GREEN TREES GROW TALL,ECOSYS,Community of living and nonliving things
Science,Nature,GREEN TREES GROW TALL,CLIMATE,Long-term weather patterns of a region
Science,Nature,GREEN TREES GROW TALL,DROUGHT,Extended period of little or no rain
Science,Nature,GREEN TREES GROW TALL,PLAINS,Large area of flat grassy land
Science,Nature,GREEN TREES GROW TALL,STREAM,Small flowing body of water
Science,Nature,GREEN TREES GROW TALL,TROPIC,Region near the equator with warm weather
Science,Chemistry,ATOMS FORM NEW BONDS,ATOM,Smallest unit of ordinary matter
Science,Chemistry,ATOMS FORM NEW BONDS,GENOME,Complete set of genetic material
Science,Chemistry,ATOMS FORM NEW BONDS,CELLS,Basic building blocks of all living things
Science,Chemistry,ATOMS FORM NEW BONDS,ENERGY,Capacity to do work or cause change
Science,Chemistry,ATOMS FORM NEW BONDS,ION,Atom that has gained or lost electrons
Science,Chemistry,ATOMS FORM NEW BONDS,BOND,Force that holds atoms together
Science,Chemistry,ATOMS FORM NEW BONDS,ACID,Substance with a pH below seven
Science,African Scientists,WANGARI PLANTED MANY TREES,WANGARI,Nobel laureate who planted thirty million trees
Science,African Scientists,WANGARI PLANTED MANY TREES,BOTANY,Science of plant life
Science,African Scientists,WANGARI PLANTED MANY TREES,GEOLOG,Science of the Earths physical structure
Science,African Scientists,WANGARI PLANTED MANY TREES,ECOLOG,Study of organisms and their environment
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,JAZZ,Music genre born in New Orleans
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,BLUES,Music genre expressing melancholy or emotion
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,SOUL,Music genre rooted in gospel and R and B
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,FUNK,Music genre with strong rhythmic groove
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,REGGAE,Music genre originating in Jamaica
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,GOSPEL,Genre of Christian religious music
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,HIPHOP,Music genre with rhythmic spoken delivery
Music,Music Genres,JAZZ BLUES SOUL AND FUNK,AFROBEAT,Music genre blending West African and American styles
Music,Musical Instruments,DRUMS AND GUITAR PLAY,DRUMS,Percussion instrument struck with hands or sticks
Music,Musical Instruments,DRUMS AND GUITAR PLAY,GUITAR,Stringed instrument with six strings
Music,Musical Instruments,DRUMS AND GUITAR PLAY,PIANO,Keyboard instrument with black and white keys
Music,Musical Instruments,DRUMS AND GUITAR PLAY,FLUTE,Woodwind instrument blown across a hole
Music,Musical Instruments,DRUMS AND GUITAR PLAY,HARP,Stringed instrument played by plucking
Music,Musical Instruments,DRUMS AND GUITAR PLAY,VIOLIN,Stringed instrument played with a bow
Music,Musical Instruments,DRUMS AND GUITAR PLAY,BANJO,Plucked string instrument with a round body
Music,African Music,KORA SOUNDS LIKE WATER,KORA,West African string instrument with twenty-one strings
Music,African Music,KORA SOUNDS LIKE WATER,MARIMBA,African wooden xylophone
Music,African Music,KORA SOUNDS LIKE WATER,TALKING,Type of drum that mimics human speech
Music,African Music,KORA SOUNDS LIKE WATER,HIGHLIFE,Popular Ghanaian music genre
Music,African Music,KORA SOUNDS LIKE WATER,JUJU,Popular Nigerian music style
Music,African Music,KORA SOUNDS LIKE WATER,MBAQANGA,South African music style with a steady beat
Music,Famous Musicians,BOB MARLEY IS A LEGEND,LEGEND,Famous reggae singer known as Bob
Music,Famous Musicians,BOB MARLEY IS A LEGEND,LOUIS,Legendary South African trumpeter
Music,Famous Musicians,BOB MARLEY IS A LEGEND,MIRIAM,South African singer known as the Queen of African Song
Music,Famous Musicians,BOB MARLEY IS A LEGEND,ANGELIQUE,Congolese singer known as the Queen of Rumba
Music,Famous Musicians,BOB MARLEY IS A LEGEND,SALIF,Malian singer known as the Golden Voice of Africa
Music,Famous Musicians,BOB MARLEY IS A LEGEND,YOUSSEU,Cameroonian musician and songwriter
Entertainment,African Cinema,FILM MAKING IS AN ART,ACTOR,Person who performs in films
Entertainment,African Cinema,FILM MAKING IS AN ART,SCENE,Part of a movie in one location
Entertainment,African Cinema,FILM MAKING IS AN ART,PLOT,Sequence of events in a story
Entertainment,African Cinema,FILM MAKING IS AN ART,AWARD,Prize given for outstanding film
Entertainment,African Cinema,FILM MAKING IS AN ART,FILM,Another word for movie
Entertainment,African Cinema,FILM MAKING IS AN ART,DRAMA,Genre of serious storytelling
Entertainment,African Cinema,FILM MAKING IS AN ART,LAGOS,Nigerian city home to Nollywood
Entertainment,Sports Games,SOCCER IS THE BEST,SOCCER,Most popular sport in Africa
Entertainment,Sports Games,SOCCER IS THE BEST,RUGBY,Popular sport in South Africa
Entertainment,Sports Games,SOCCER IS THE BEST,MEDAL,Award given to top athletes
Entertainment,Sports Games,SOCCER IS THE BEST,RELAY,Race where runners pass a baton
Entertainment,Sports Games,SOCCER IS THE BEST,TROPHY,Cup awarded to tournament winners
Entertainment,Sports Games,SOCCER IS THE BEST,ARENA,Large venue for sports events
Entertainment,Literature Arts,POETRY TELLS OUR STORY,NOVEL,Long fictional prose narrative
Entertainment,Literature Arts,POETRY TELLS OUR STORY,POETRY,Literary work expressing emotions in verse
Entertainment,Literature Arts,POETRY TELLS OUR STORY,CANVAS,Fabric used as a surface for painting
Entertainment,Literature Arts,POETRY TELLS OUR STORY,MURAL,Painting done directly on a wall
Entertainment,Literature Arts,POETRY TELLS OUR STORY,FABLE,Short story teaching a moral lesson
Entertainment,Literature Arts,POETRY TELLS OUR STORY,MYTH,Traditional story explaining beliefs
Entertainment,Festivals,DANCE SING AND CELEBRATE,DURBAR,Traditional Nigerian festival display
Entertainment,Festivals,DANCE SING AND CELEBRATE,TIMKIT,Ethiopian celebration of Epiphany
Entertainment,Festivals,DANCE SING AND CELEBRATE,PANAF,Celebration of African arts and culture
Entertainment,Festivals,DANCE SING AND CELEBRATE,PARADE,Public procession with music
Entertainment,Festivals,DANCE SING AND CELEBRATE,FEAST,Large celebratory meal
Entertainment,Festivals,DANCE SING AND CELEBRATE,DANCE,Movement to music as celebration
Entertainment,Festivals,DANCE SING AND CELEBRATE,MUSIC,Sound organized in time and rhythm
Entertainment,Festivals,DANCE SING AND CELEBRATE,COLOR,Bright visual element of festivals
